StepID,ParentID,Başlık,Açıklama,Seçenekler,Kaynak/Link,GörünürEğer,Seçenek Info,Seçenek Pros,Seçenek Cons,Terimler
1,0,Platform Seç,Hangi platformda mağaza açılacak?,"[Shopify, Etsy, Amazon, Pazaryeri (TR)]",-,,,,,
2,0,Tedarikçi Modeli Seç,Ürün tedarik yöntemi.,"[AliExpress, Türkiye Tedarikçi, Print on Demand, Private Label]",-,,,,,
3,0,Hedef Pazar,Öncelikli pazar.,"[Global, Türkiye]",-,,,,,
4,0,Marka Adı & Domain,Marka ismi bul; domain uygunluğunu kontrol et.,[-],"Namecheap, Google Domains",,,,,
5,0,Çalışma Alanı Kur,Drive klasörleri + Notion çalışma sayfası + görev takibi.,[-],"Google Drive, Notion",,,,,
6,0,Politikalar/Yasaklı Ürünler,Seçilen platformun ve ülkenin yasaklı ürünlerini kontrol et.,[-],Platform Policies,,,,,
7,0,İzleme & Analitik Seç,Piksel/analitik aracını seç.,"[TikTok Pixel, Meta Pixel, Google Tag (GA4), Sadece UTM]","TikTok Pixel Helper, Tag Assistant",,,,,
8,0,UTM İsimlendirme,utm_source/medium/campaign/content standardı oluştur.,[-],UTM Builder,,,,,
9,0,Takip Sheet,Ürün/teklif – link – trafik – satış sheet’i kopyala.,[-],Google Sheets,,,,,
10,0,İşletme E-postası,Domain e-postası oluştur (info@...).,[-],"Google Workspace, Zoho Mail",,,,,
,,,,,,,,,,
20,0,Shopify – Hesap Aç,Shopify hesabı oluştur.,[-],Shopify Help,step:1=Shopify,,,,
21,20,Shopify – Mağaza Ayarları,"Para birimi, bölge, saat dilimi.",[-],Shopify Admin,step:1=Shopify,,,,
22,20,Shopify – Tema,“Dawn” (ücretsiz) ile başla; logo/renk ayarla.,[-],Shopify Themes,step:1=Shopify,,,,
23,20,Shopify – Alan Adı,Domaini bağla; SSL aktif.,[-],Shopify Domains,step:1=Shopify,,,,
24,20,Shopify – Ödemeler,Ödeme sağlayıcı: TR’de iyzico/PayTR.,"[iyzico, PayTR, Stripe]","iyzico, PayTR",step:1=Shopify,,,,
25,20,Shopify – Kargo/Tax,Kargo bölgeleri ve ücretleri; KDV/Tax ayarı.,[-],"Shopify Shipping, Taxes",step:1=Shopify,,,,
26,20,Shopify – Politika Sayfaları,İade/teslimat/gizlilik sayfalarını oluştur.,[-],Shopify Policies,step:1=Shopify,,,,
27,20,Shopify – Zorunlu Sayfalar,"Hakkımızda, İletişim, SSS; menü/navigasyon.",[-],-,step:1=Shopify,,,,
28,20,Shopify – Gerekli Uygulamalar,Sayfa/yorum/e-posta/popup uygulamaları seç.,"[PageFly, Judge.me, Klaviyo, Lucky Orange]","PageFly, Judge.me, Klaviyo",step:1=Shopify,,,,
29,20,Shopify – DSers Kur (AliExpress),AliExpress entegrasyonu.,[-],DSers,step:1=Shopify; step:2=AliExpress,,,,
30,20,Shopify – Entegrasyon (TR Tedarikçi),E-fatura/kargo/ERP entegrasyonu.,"[Entegra, Dopigo, StockMount]","Entegra, Dopigo",step:1=Shopify; step:2=Türkiye Tedarikçi,,,,
31,20,Shopify – POD Entegrasyon,POD sağlayıcını bağla.,"[Printify, Printful, Gelato]","Printify, Printful",step:1=Shopify; step:2=Print on Demand,,,,
32,20,Shopify – Piksel Kur,Piksel kodunu theme/gtm ile kur; test et.,[-],Tag Manager,step:1=Shopify,,,,
,,,,,,,,,,
40,0,Etsy – Mağaza Aç,"Etsy shop oluştur, kimlik/banka bilgileri.",[-],Etsy Seller Handbook,step:1=Etsy,,,,
41,40,Etsy – Mağaza Ayarları,"Dil, para birimi, lokasyon, shop banner.",[-],-,step:1=Etsy,,,,
42,40,Etsy – Politika & Kargo,Mağaza politikaları ve kargo profilleri.,[-],-,step:1=Etsy,,,,
43,40,Etsy – POD Entegrasyon,Printify/Printful’ı bağla.,"[Printify, Printful, Gelato]","Printify, Printful",step:1=Etsy; step:2=Print on Demand,,,,
44,40,Etsy – Piksel/Analytics,Etsy native analytics + UTM kullan.,[-],-,step:1=Etsy,,,,
,,,,,,,,,,
50,0,Amazon – Satıcı Hesabı,Individual/Professional seç; doğrulama.,"[Individual, Professional]",Amazon Seller Central,step:1=Amazon,,,,
51,50,Amazon – FBA/FBM Seçimi,Fulfillment modelini seç.,"[FBA, FBM]",-,step:1=Amazon,,,,
52,50,Amazon – Kategori Onay,İlgili kategoriler için onay.,[-],-,step:1=Amazon,,,,
53,50,Amazon – Marka/GTIN,Brand Registry (ops.) ve barkod/GTIN.,[-],-,step:1=Amazon,,,,
54,50,Amazon – Kargo Şablonu (FBM),Kargo şablonunu oluştur.,[-],-,step:1=Amazon; step:51=FBM,,,,
55,50,Amazon – FBA Gönderi (FBA),FBA inbound plan + paketleme.,[-],-,step:1=Amazon; step:51=FBA,,,,
56,50,Amazon – Piksel/UTM,Amazon dış trafik için UTM + Attribution.,[-],Amazon Attribution,step:1=Amazon,,,,
,,,,,,,,,,
60,0,Pazaryeri (TR) – Hesaplar,Trendyol/Hepsiburada/n11 satıcı hesaplarını aç.,"[Trendyol, Hepsiburada, n11]",Satıcı Merkezi,step:1=Pazaryeri (TR),,,,
61,60,Pazaryeri – Belgeler,"Sözleşmeler, vergi/banka, entegrasyon başvuruları.",[-],-,step:1=Pazaryeri (TR),,,,
62,60,Pazaryeri – Entegrasyon,Entegrasyon yazılımını bağla.,"[Entegra, Dopigo, StockMount, İdeasoft]",Entegratörler,step:1=Pazaryeri (TR),,,,
63,60,Pazaryeri – Kargo Anlaşması,Yurtiçi/Aras/PTS anlaşmaları.,"[Yurtiçi, Aras, MNG, Sürat]",Kargo Firmaları,step:1=Pazaryeri (TR),,,,
64,60,Pazaryeri – Mağaza Ayarları,"Komisyon, iade, kargo şablonları.",[-],-,step:1=Pazaryeri (TR),,,,
,,,,,,,,,,
70,0,Ürün Araştırma – Genel,"Fikir kaynakları ve kriterler (talep, kâr, teslimat).",[-],"TikTok Creative Center, Amazon Movers",,,,,
