StepID,ParentID,Başlık,Açıklama,Seçenekler,Kaynak/Link,GörünürEğer,Seçenek Info,Seçenek Pros,Seçenek Cons,Terimler
1,0,Model Seç,İş modelini belirle (dallar buna göre açılır).,"[D2C (Kendi Marka), Arbitraj, Pazaryeri]",-,,D2C (Kendi Marka): D2C (Kendi Marka) için kısa açıklama. || Arbitraj: Arbitraj için kısa açıklama. || Pazaryeri: Pazaryeri için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her senaryoda uygun olmayabilir || Her senaryoda uygun olmayabilir || Her senaryoda uygun olmayabilir,Sipariş Akışı: Sepet → Ödeme → Teslimat → İade
2,0,Hedef Pazar,Operasyon ve ödeme/kargo pazarına göre değişir.,"[Global, Türkiye]",-,,Global: Global için kısa açıklama. || Türkiye: Türkiye için kısa açıklama.,Uygulaması kolay || Uygulaması kolay,Her senaryoda uygun olmayabilir || Her senaryoda uygun olmayabilir,Desi: Kargo hacim ağırlığı hesabı
3,0,Marka Adı & Domain,"İsim düşün, domain kontrol et.",[-],"Namecheap, Google Domains",,,,,Sipariş Akışı: Sepet → Ödeme → Teslimat → İade
4,0,Şirket & Hukuk (Öneri),"Şirket, KVKK/Privacy, iade/mesafeli satış; şablonları doldur.",[-],Ticaret Bakanlığı Rehberleri,,,,,Mesafeli Satış Sözleşmesi: Online satış yasal sözleşmesi || KVKK/Çerez Politikası: Veri işleme ve çerez izinleri || İade/İptal Koşulları: Süre ve iade adresi
5,0,Çalışma Alanı & Klasör,Drive klasörleri + Notion görev tahtası.,[-],"Google Drive, Notion",,,,,Sipariş Akışı: Sepet → Ödeme → Teslimat → İade
6,0,İzleme Aracı Seç,Piksel/analitik tercihini seç.,"[TikTok Pixel, Meta Pixel, Google Tag (GA4), Sadece UTM]","TikTok Pixel Helper, Tag Assistant",,TikTok Pixel: TikTok Pixel için kısa açıklama. || Meta Pixel: Meta Pixel ile muhasebe/ERP veya e‑Fatura/e‑Arşiv. || Google Tag (GA4): GA4 analitik kurulum. || Sadece UTM: Sadece UTM için kısa açıklama.,Uygulaması kolay || Entegrasyon ile otomasyon; KDV/irsaliye düzeni || Davranış raporları; Funnel ölçümü || Uygulaması kolay,Her senaryoda uygun olmayabilir || Kurulum maliyeti; Öğrenme eğrisi || Kurulum/etiketleme bilgisi; Örnekleme sorunları || Her senaryoda uygun olmayabilir,GA4: Google Analytics 4 || Meta Pixel/CAPI: Reklam eşleme ve olay izleme
7,0,UTM Standardı,utm_source/medium/campaign/content adlandırma.,[-],UTM Builder,,,,,Sipariş Akışı: Sepet → Ödeme → Teslimat → İade
8,0,Takip Sheet,"Ürün, trafik, maliyet, satış, marj tablosu.",[-],Google Sheets,,,,,Sipariş Akışı: Sepet → Ödeme → Teslimat → İade
9,0,Disclosure,İade/teslimat ve reklam/affiliate açıklamaları.,[-],FTC/AB Yönergeleri,,,,,Sipariş Akışı: Sepet → Ödeme → Teslimat → İade
,,,,,,,,,,Sipariş Akışı: Sepet → Ödeme → Teslimat → İade
