StepID,ParentID,Başlık,Açıklama,Seçenekler,Kaynak/Link,GörünürEğer,Seçenek Info,Seçenek Pros,Seçenek Cons,Terimler
1,0,Alan Seç,Hangi alanda hizmet vereceksin?,"[Yazılım, Tasarım, İçerik-SEO, NoCode, Veri/AI]",-,,Yazılım: Yazılım için kısa açıklama. || Tasarım: Tasarım için kısa açıklama. || İçerik-SEO: İçerik-SEO için kısa açıklama. || NoCode: NoCode için kısa açıklama. || Veri/AI: Veri/AI için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,NDA: Gizlilik sözleşmesi
2,0,Platform Seç,Müşteriyi nereden bulacaksın?,"[Upwork, Fiverr, LinkedIn, Soğuk E-posta]",-,,Upwork: Upwork üzerinde freelance iş bulma. || Fiverr: Fiverr'da paket bazlı gig satışı. || LinkedIn: LinkedIn ile outbound/organik müşteri edinme. || Soğuk E-posta: Soğuk E-posta için kısa açıklama.,Güvenli escrow; Fazla ilan; Derecelendirme sistemi || Paketle satış; Kolay başlangıç || Hedefli iletişim; Portföy görünürlüğü || Uygulaması kolay,Komisyon kesintisi; Rekabet yüksek || Komisyonlar; Fiyat kırma rekabeti || Süreklilik ve içerik üretimi gerek || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
3,0,Pazar,Öncelikli çalışacağın pazar.,"[Global, Türkiye]",-,,Global: Global için kısa açıklama. || Türkiye: Türkiye için kısa açıklama.,Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
4,0,Marka Adı & İletişim,Marka ismi; profesyonel domain e-posta (ad@...).,[-],"Namecheap, Google Workspace",,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
5,0,Çalışma Alanı,Klasör yapısı ve Notion görev tahtası.,[-],"Google Drive, Notion",,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
6,0,Hukuki Şablonlar,"NDA, Sözleşme (SOW), bakım anlaşması şablonlarını hazırla.",[-],"Dropbox Sign, PandaDoc",,,,,NDA: Gizlilik sözleşmesi || SOW: Statement of Work / Kapsam
7,0,Ödeme Altyapısı,Global/TR’ye göre ödeme yöntemi.,"[Wise, Payoneer, Stripe, PayPal, Havale]","Wise, Payoneer, Stripe",,Wise: Uluslararası ödeme alma. || Payoneer: Uluslararası ödeme alma. || Stripe: Kart ile ödeme alma/abonelik. || PayPal: Kart ile ödeme alma/abonelik. || Havale: Havale için kısa açıklama.,Düşük kur maliyeti; Multi-currency || Düşük kur maliyeti; Multi-currency || Geniş kart kabul; Checkout linkleri || Geniş kart kabul; Checkout linkleri || Uygulaması kolay,Hesap doğrulama; Transfer süreleri || Hesap doğrulama; Transfer süreleri || Komisyonlar; Ülke sınırlamaları || Komisyonlar; Ülke sınırlamaları || Her projede uygun olmayabilir,Net 30/15: Ödeme vadesi || Ödeme Geçidi: Online tahsilat sistemi
8,0,Takvim/Randevu,Toplantılar için takvim ve rezervasyon linki.,"[Calendly, SavvyCal, Google Calendar]","Calendly, Google Calendar",,Calendly: Randevu planlama linki. || SavvyCal: SavvyCal için kısa açıklama. || Google Calendar: Google Calendar için kısa açıklama.,Zaman kazancı; Takvim senkronu || Uygulaması kolay || Uygulaması kolay,Uygunluk kısıtları || Her projede uygun olmayabilir || Her projede uygun olmayabilir,NDA: Gizlilik sözleşmesi
9,0,CRM & Pipeline,Aday müşteri → teklif → kazan/kaybet kanbanı.,"[Notion, Trello, HubSpot]","Notion, Trello, HubSpot",,Notion: Teklif/SOW ve proje dokümantasyonu. || Trello: Görev/milestone ve iş takibi. || HubSpot: HubSpot için kısa açıklama.,Hızlı şablon; Paylaşım kolaylığı || Şablonlar; Bildirimler/otomasyon || Uygulaması kolay,İmza akışı manuel olabilir || Kurulum/alışma süresi || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
10,0,Zaman Takibi & Faturalama,Takip ve fatura/irsaliye araçları.,"[Clockify, Toggl, Paraşüt]","Clockify, Paraşüt",,Clockify: Zaman takibi ve faturalandırma. || Toggl: Zaman takibi ve faturalandırma. || Paraşüt: Paraşüt ile faturalama/muhasebe.,Saatlik raporlar; Müşteri bazlı takip || Saatlik raporlar; Müşteri bazlı takip || e-Arşiv/e-Fatura; Raporlama,Disiplin gerektirir || Disiplin gerektirir || Kurulum ve entegrasyon süreci,e-Arşiv/e-Fatura: Gelir İdaresi entegrasyonu
