StepID,ParentID,Başlık,Açıklama,Seçenekler,Kaynak/Link,GörünürEğer,Seçenek Info,Seçenek Pros,Seçenek Cons,Terimler
1,0,Kanal Tipi Seç,Yüzünü göstererek mi yoksa yüzsüz (voiceover/AI) mi içerik üreteceksin?,"[Yüzlü, Yüzsüz]",-,,Yüzlü: Kamerada yüzünü göstererek içerik üretimi. || Yüzsüz: Yüz göstermeden voiceover/ekran kaydı/AI avatar ile üretim.,Güven/bağ kurma yüksek; Kişisel marka büyür; Sadık kitle oluşur || Hızlı batch üretim; Mahremiyet korunur,Çekim/ışık/özgüven gerektirir; Zaman maliyeti daha yüksek || Güven kurmak daha zor; Soğuk/geçici hissedilebilir,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
2,0,Niş Seç,Uzun vadede sürdürebileceğin nişi seç.,"[Eğitim, Eğlence, Finans, Teknoloji, Sağlık, Fitness, Kişisel Gelişim]","Google Trends, AnswerThePublic",,Eğitim: Eğitim seçeneği için kısa açıklama. || Eğlence: İngilizce içerik dili. || Finans: Finans seçeneği için kısa açıklama. || Teknoloji: Teknoloji seçeneği için kısa açıklama. || Sağlık: Sağlık seçeneği için kısa açıklama. || Fitness: Fitness seçeneği için kısa açıklama. || Kişisel Gelişim: Kişisel Gelişim seçeneği için kısa açıklama.,Uygulaması kolay || Global kitle; CPM/RPM daha yüksek olabilir || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her içerik türünde uygun olmayabilir || Rekabet çok yüksek; Aksan/akıcılık gerektirir || Her içerik türünde uygun olmayabilir || Her içerik türünde uygun olmayabilir || Her içerik türünde uygun olmayabilir || Her içerik türünde uygun olmayabilir || Her içerik türünde uygun olmayabilir,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
3,0,Dil & Pazar,İçerik dili ve hedef pazar.,"[TR, EN (Global)]",YouTube Demographics,,TR: Türkçe içerik dili. || EN (Global): İngilizce içerik dili.,Yerel bağ ve topluluk; Rekabet görece düşük || Global kitle; CPM/RPM daha yüksek olabilir,CPM düşük olabilir; Global ölçek sınırlı || Rekabet çok yüksek; Aksan/akıcılık gerektirir,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
4,0,Persona Netleştir,"Hedef kitlenin yaş, seviye, amaç ve itirazlarını yaz.",[-],Notion Persona Template,,,,,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
5,0,Format Seç,İçerik formatı.,"[Shorts, Long-form, İkisi]",-,,"Shorts: Dikey, kısa form (≤60 sn) videolar. || Long-form: Yatay, uzun form videolar. || İkisi: İkisi seçeneği için kısa açıklama.",Yüksek keşif potansiyeli; Hızlı test/iterasyon || Uzun vadeli keşif + gelir; Derin bağ ve otorite || Uygulaması kolay,Monetizasyon sınırlı; Sadakat/derinlik düşük || Üretim süreci daha ağır; Süre tutturma/retention zor || Her içerik türünde uygun olmayabilir,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
6,0,İsim/Handle,"Marka adı ve @handle belirle (kısa, akılda kalıcı).",[-],Namecheckr,,,,,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
7,0,Görsel Kimlik,"Logo, renk paleti, tipografi (kolay okunur).",[-],"Canva, Coolors",,,,,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
8,0,YouTube Kanal Kur,"Kanal oluştur, ülke/saat dilimi/doğrulama (telefon).",[-],YouTube Studio,,,,,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
9,0,Güvenlik & Erişim,2FA aç; kurtarma e-postası ekle; marka hesabı sahibini sabitle.,[-],Google Account,,,,,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
,,,,,,,,,,End Screen: Videonun sonunda çıkan yönlendirme ekranı || Cards: Video içinde tıklanabilir kartlar
